DATE,BA06RC1A027NBEA
1982-01-01,1479.187
1983-01-01,1563.54
1984-01-01,1718.002
1985-01-01,1847.999
1986-01-01,1961.526
1987-01-01,2107.867
1988-01-01,2280.602
1989-01-01,2415.119
1990-01-01,2564.522
1991-01-01,2626.972
1992-01-01,2781.676
1993-01-01,2884.472
1994-01-01,3033.677
1995-01-01,3215.921
1996-01-01,3414.515
1997-01-01,3674.032
1998-01-01,3967.072
1999-01-01,4235.579
2000-01-01,4587.709
2001-01-01,4695.225
2002-01-01,4714.375
2003-01-01,4826.252
2004-01-01,5087.562
2005-01-01,5351.949
2006-01-01,5692.569
2007-01-01,6018.089
2008-01-01,6142.159
2009-01-01,5859.232
2010-01-01,5975.676
2011-01-01,6217.286
2012-01-01,6491.224
2013-01-01,6672.644
2014-01-01,7016.975
2015-01-01,7384.948
2016-01-01,7607.227
2017-01-01,7968.336
2018-01-01,8368.407
2019-01-01,8769.109
2020-01-01,8905.607
2021-01-01,9720.962
2022-01-01,10496.811
