"DATE","TIME PERIOD","Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions in the euro area (stocks) (BSI.M.U2.N.V.M20.X.1.U2.2300.Z01.E)"
"1980-01-31","1980Jan","1080273"
"1980-02-29","1980Feb","1080016"
"1980-03-31","1980Mar","1090055"
"1980-04-30","1980Apr","1092061"
"1980-05-31","1980May","1097620"
"1980-06-30","1980Jun","1112044"
"1980-07-31","1980Jul","1117561"
"1980-08-31","1980Aug","1117515"
"1980-09-30","1980Sep","1124085"
"1980-10-31","1980Oct","1128916"
"1980-11-30","1980Nov","1154240"
"1980-12-31","1980Dec","1198035"
"1981-01-31","1981Jan","1185788"
"1981-02-28","1981Feb","1191439"
"1981-03-31","1981Mar","1195068"
"1981-04-30","1981Apr","1201981"
"1981-05-31","1981May","1216320"
"1981-06-30","1981Jun","1224320"
"1981-07-31","1981Jul","1224131"
"1981-08-31","1981Aug","1222519"
"1981-09-30","1981Sep","1235503"
"1981-10-31","1981Oct","1239115"
"1981-11-30","1981Nov","1256082"
"1981-12-31","1981Dec","1308299"
"1982-01-31","1982Jan","1304501"
"1982-02-28","1982Feb","1308889"
"1982-03-31","1982Mar","1313237"
"1982-04-30","1982Apr","1321306"
"1982-05-31","1982May","1333498"
"1982-06-30","1982Jun","1348117"
"1982-07-31","1982Jul","1354396"
"1982-08-31","1982Aug","1358537"
"1982-09-30","1982Sep","1370312"
"1982-10-31","1982Oct","1378429"
"1982-11-30","1982Nov","1391951"
"1982-12-31","1982Dec","1449908"
"1983-01-31","1983Jan","1442306"
"1983-02-28","1983Feb","1444592"
"1983-03-31","1983Mar","1441222"
"1983-04-30","1983Apr","1450437"
"1983-05-31","1983May","1460615"
"1983-06-30","1983Jun","1474462"
"1983-07-31","1983Jul","1487081"
"1983-08-31","1983Aug","1482811"
"1983-09-30","1983Sep","1487292"
"1983-10-31","1983Oct","1500376"
"1983-11-30","1983Nov","1516045"
"1983-12-31","1983Dec","1579251"
"1984-01-31","1984Jan","1560794"
"1984-02-29","1984Feb","1556309"
"1984-03-31","1984Mar","1555115"
"1984-04-30","1984Apr","1567986"
"1984-05-31","1984May","1576865"
"1984-06-30","1984Jun","1590888"
"1984-07-31","1984Jul","1601634"
"1984-08-31","1984Aug","1596946"
"1984-09-30","1984Sep","1623248"
"1984-10-31","1984Oct","1623302"
"1984-11-30","1984Nov","1634801"
"1984-12-31","1984Dec","1710855"
"1985-01-31","1985Jan","1693243"
"1985-02-28","1985Feb","1696299"
"1985-03-31","1985Mar","1700498"
"1985-04-30","1985Apr","1706597"
"1985-05-31","1985May","1703110"
"1985-06-30","1985Jun","1726676"
"1985-07-31","1985Jul","1729206"
"1985-08-31","1985Aug","1720281"
"1985-09-30","1985Sep","1737336"
"1985-10-31","1985Oct","1738990"
"1985-11-30","1985Nov","1750081"
"1985-12-31","1985Dec","1833589"
"1986-01-31","1986Jan","1805907"
"1986-02-28","1986Feb","1800065"
"1986-03-31","1986Mar","1815499"
"1986-04-30","1986Apr","1810348"
"1986-05-31","1986May","1814401"
"1986-06-30","1986Jun","1836445"
"1986-07-31","1986Jul","1844954"
"1986-08-31","1986Aug","1845874"
"1986-09-30","1986Sep","1861344"
"1986-10-31","1986Oct","1868051"
"1986-11-30","1986Nov","1893614"
"1986-12-31","1986Dec","1955310"
"1987-01-31","1987Jan","1935951"
"1987-02-28","1987Feb","1928710"
"1987-03-31","1987Mar","1934631"
"1987-04-30","1987Apr","1945622"
"1987-05-31","1987May","1958133"
"1987-06-30","1987Jun","1978993"
"1987-07-31","1987Jul","1979141"
"1987-08-31","1987Aug","1977508"
"1987-09-30","1987Sep","1989848"
"1987-10-31","1987Oct","1998287"
"1987-11-30","1987Nov","2019573"
"1987-12-31","1987Dec","2080922"
"1988-01-31","1988Jan","2062080"
"1988-02-29","1988Feb","2051778"
"1988-03-31","1988Mar","2048098"
"1988-04-30","1988Apr","2067842"
"1988-05-31","1988May","2081419"
"1988-06-30","1988Jun","2102394"
"1988-07-31","1988Jul","2121632"
"1988-08-31","1988Aug","2112574"
"1988-09-30","1988Sep","2119614"
"1988-10-31","1988Oct","2140644"
"1988-11-30","1988Nov","2159819"
"1988-12-31","1988Dec","2232947"
"1989-01-31","1989Jan","2206076"
"1989-02-28","1989Feb","2200475"
"1989-03-31","1989Mar","2206061"
"1989-04-30","1989Apr","2223905"
"1989-05-31","1989May","2231284"
"1989-06-30","1989Jun","2259786"
"1989-07-31","1989Jul","2281877"
"1989-08-31","1989Aug","2269840"
"1989-09-30","1989Sep","2286376"
"1989-10-31","1989Oct","2294257"
"1989-11-30","1989Nov","2316284"
"1989-12-31","1989Dec","2419118"
"1990-01-31","1990Jan","2379739"
"1990-02-28","1990Feb","2370043"
"1990-03-31","1990Mar","2359966"
"1990-04-30","1990Apr","2376184"
"1990-05-31","1990May","2375964"
"1990-06-30","1990Jun","2496900"
"1990-07-31","1990Jul","2504399"
"1990-08-31","1990Aug","2490324"
"1990-09-30","1990Sep","2528301"
"1990-10-31","1990Oct","2525949"
"1990-11-30","1990Nov","2542044"
"1990-12-31","1990Dec","2658683"
"1991-01-31","1991Jan","2600176"
"1991-02-28","1991Feb","2599248"
"1991-03-31","1991Mar","2600460"
"1991-04-30","1991Apr","2612112"
"1991-05-31","1991May","2613692"
"1991-06-30","1991Jun","2651888"
"1991-07-31","1991Jul","2645258"
"1991-08-31","1991Aug","2637304"
"1991-09-30","1991Sep","2657215"
"1991-10-31","1991Oct","2656288"
"1991-11-30","1991Nov","2689380"
"1991-12-31","1991Dec","2808376"
"1992-01-31","1992Jan","2735280"
"1992-02-29","1992Feb","2729984"
"1992-03-31","1992Mar","2742354"
"1992-04-30","1992Apr","2761474"
"1992-05-31","1992May","2774682"
"1992-06-30","1992Jun","2789467"
"1992-07-31","1992Jul","2781924"
