データコード,IR01'MADR1M
系列名称,"基準割引率および基準貸付利率"
1850/01,
1850/02,
1850/03,
1850/04,
1850/05,
1850/06,
1850/07,
1850/08,
1850/09,
1850/10,
1850/11,
1850/12,
1851/01,
1851/02,
1851/03,
1851/04,
1851/05,
1851/06,
1851/07,
1851/08,
1851/09,
1851/10,
1851/11,
1851/12,
1852/01,
1852/02,
1852/03,
1852/04,
1852/05,
1852/06,
1852/07,
1852/08,
1852/09,
1852/10,
1852/11,
1852/12,
1853/01,
1853/02,
1853/03,
1853/04,
1853/05,
1853/06,
1853/07,
1853/08,
1853/09,
1853/10,
1853/11,
1853/12,
1854/01,
1854/02,
1854/03,
1854/04,
1854/05,
1854/06,
1854/07,
1854/08,
1854/09,
1854/10,
1854/11,
1854/12,
1855/01,
1855/02,
1855/03,
1855/04,
1855/05,
1855/06,
1855/07,
1855/08,
1855/09,
1855/10,
1855/11,
1855/12,
1856/01,
1856/02,
1856/03,
1856/04,
1856/05,
1856/06,
1856/07,
1856/08,
1856/09,
1856/10,
1856/11,
1856/12,
1857/01,
1857/02,
1857/03,
1857/04,
1857/05,
1857/06,
1857/07,
1857/08,
1857/09,
1857/10,
1857/11,
1857/12,
1858/01,
1858/02,
1858/03,
1858/04,
1858/05,
1858/06,
1858/07,
1858/08,
1858/09,
1858/10,
1858/11,
1858/12,
1859/01,
1859/02,
1859/03,
1859/04,
1859/05,
1859/06,
1859/07,
1859/08,
1859/09,
1859/10,
1859/11,
1859/12,
1860/01,
1860/02,
1860/03,
1860/04,
1860/05,
1860/06,
1860/07,
1860/08,
1860/09,
1860/10,
1860/11,
1860/12,
1861/01,
1861/02,
1861/03,
1861/04,
1861/05,
1861/06,
1861/07,
1861/08,
1861/09,
1861/10,
1861/11,
1861/12,
1862/01,
1862/02,
1862/03,
1862/04,
1862/05,
1862/06,
1862/07,
1862/08,
1862/09,
1862/10,
1862/11,
1862/12,
1863/01,
1863/02,
1863/03,
1863/04,
1863/05,
1863/06,
1863/07,
1863/08,
1863/09,
1863/10,
1863/11,
1863/12,
1864/01,
1864/02,
1864/03,
1864/04,
1864/05,
1864/06,
1864/07,
1864/08,
1864/09,
1864/10,
1864/11,
1864/12,
1865/01,
1865/02,
1865/03,
1865/04,
1865/05,
1865/06,
1865/07,
1865/08,
1865/09,
1865/10,
1865/11,
1865/12,
1866/01,
1866/02,
1866/03,
1866/04,
1866/05,
1866/06,
1866/07,
1866/08,
1866/09,
1866/10,
1866/11,
1866/12,
1867/01,
1867/02,
1867/03,
1867/04,
1867/05,
1867/06,
1867/07,
1867/08,
1867/09,
1867/10,
1867/11,
1867/12,
1868/01,
1868/02,
1868/03,
1868/04,
1868/05,
1868/06,
1868/07,
1868/08,
1868/09,
