データコード,MD02'MAM1NAM2M2MO,MD02'MAM1NAM3M3MO,MD02'MAM1NAM3M1MO,MD02'MAM1NAM3CCMO,MD02'MAM1NAM3DMMO,MD02'MAM1NAM3DMEP,MD02'MAM1NAM3DMPN,MD02'MAM1NAM3QMMO,MD02'MAM1NAM3QMEP,MD02'MAM1NAM3QMPN,MD02'MAM1NAM3CDMO,MD02'MAM1NAM3CDEP,MD02'MAM1NAM3CDPN,MD02'MAM1NABLBLMO,MD02'MAM1NABLPTMO,MD02'MAM1NABLITMO,MD02'MAM1NABLBDMO,MD02'MAM1NABLSBMO,MD02'MAM1NABLCPMO,MD02'MAM1NABLGSMO,MD02'MAM1NABLFBMO,MD02'MAM1XABLBLMO,MD02'MAM1XAM2M2MO,MD02'MAM1XAM3M3MO,MD02'MAM1XAM3M1MO,MD02'MAM1XAM3CCMO,MD02'MAM1XAM3DMMO,MD02'MAM1XAM3QMMO,MD02'MAM1NEM3M3MO,MD02'MAM1NEM3M1MO,MD02'MAM1NEM3CCMO,MD02'MAM1NEM3DMMO,MD02'MAM1NEM3DMEP,MD02'MAM1NEM3DMPN,MD02'MAM1NEM3QMMO,MD02'MAM1NEM3QMEP,MD02'MAM1NEM3QMPN,MD02'MAM1NEM3CDMO,MD02'MAM1NEM3CDEP,MD02'MAM1NEM3CDPN,MD02'MAM1XEM3M3MO,MD02'MAM1XEM3M1MO
系列名称,"Ｍ２／平／マネーストック","Ｍ３／平／マネーストック","＿Ｍ１／平／マネーストック","＿＿現金通貨／平／マネーストック","＿＿預金通貨／平／マネーストック","＿＿＿一般法人・預金通貨／平／マネーストック","＿＿＿個人・預金通貨／平／マネーストック","＿準通貨／平／マネーストック","＿＿＿一般法人・準通貨／平／マネーストック","＿＿＿個人・準通貨／平／マネーストック","＿ＣＤ／平／マネーストック","＿＿＿一般法人・ＣＤ／平／マネーストック","＿＿＿個人・ＣＤ／平／マネーストック","広義流動性／平／マネーストック","＿金銭の信託／平／マネーストック","＿投資信託／平／マネーストック","＿金融債／平／マネーストック","＿銀行発行普通社債／平／マネーストック","＿金融機関発行ＣＰ／平／マネーストック","＿国債／平／マネーストック","＿外債／平／マネーストック","広義流動性／平／季／マネーストック","Ｍ２／平／季／マネーストック","Ｍ３／平／季／マネーストック","＿Ｍ１／平／季／マネーストック","＿＿現金通貨／平／季／マネーストック","＿＿預金通貨／平／季／マネーストック","＿準通貨／平／季／マネーストック","Ｍ３／末／マネーストック","＿Ｍ１／末／マネーストック","＿＿現金通貨／末／マネーストック","＿＿預金通貨／末／マネーストック","＿＿＿一般法人・預金通貨／末／マネーストック","＿＿＿個人・預金通貨／末／マネーストック","＿準通貨／末／マネーストック","＿＿＿一般法人・準通貨／末／マネーストック","＿＿＿個人・準通貨／末／マネーストック","＿ＣＤ／末／マネーストック","＿＿＿一般法人・ＣＤ／末／マネーストック","＿＿＿個人・ＣＤ／末／マネーストック","Ｍ３／末／季／マネーストック","＿Ｍ１／末／季／マネーストック"
2003/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003/04,6767067,10121694,4310580,664716,3645864,1158472,2361170,5637115,668148,4875369,173999,142445,405,12688528,1222637,424251,158215,12918,7734,423723,317356,12639250,6726558,10085581,4230129,664095,3557352,5692399,10174857,4388653,675847,3712806,1201209,2388885,5627815,663912,4872707,158389,131162,405,10133530,4276384
2003/05,6770869,10124315,4321237,664409,3656828,1173466,2360224,5634195,669781,4870153,168883,140860,294,12574500,1098605,422475,154985,13359,8521,424631,327609,12552101,6746170,10104855,4258228,665127,3589313,5672795,10179212,4375908,670299,3705609,1208334,2358314,5637116,665571,4867905,166188,133574,396,10186348,4342966
2003/06,6777550,10135410,4306270,661317,3644953,1123135,2376203,5643400,660195,4866227,185740,141660,414,12615548,1123704,420550,152749,13399,9279,425199,335258,12598928,6765995,10121774,4285923,668208,3613816,5655246,10231830,4397499,677412,3720087,1144702,2438914,5650140,655436,4868096,184191,134337,588,10169239,4340910
2003/07,6813055,10182600,4331338,670448,3660890,1112506,2420320,5656631,659359,4867952,194631,144230,590,12677248,1126071,419335,152044,13940,8293,429861,345104,12629580,6775011,10132933,4306784,670100,3636490,5640078,10193000,4347469,673762,3673707,1135138,2409760,5656795,654548,4872706,188736,140373,592,10186922,4375663
2003/08,6807344,10171792,4325446,669303,3656143,1117218,2413928,5651238,654450,4868468,195108,146961,594,12692606,1134152,422112,149827,13907,8955,436797,355064,12667228,6802305,10161528,4343724,672178,3672185,5622537,10219949,4388061,679614,3708447,1147483,2438084,5646770,656096,4867750,185118,140997,594,10206087,4392145
2003/09,6768459,10125379,4305898,663799,3642099,1117362,2403380,5630439,655656,4859472,189042,147802,738,12671653,1147820,425408,149916,13555,10280,441426,357869,12686848,6789562,10147567,4361467,672754,3690646,5608950,10162072,4361178,665510,3695668,1185283,2398131,5619791,657176,4855429,181103,142137,842,10201026,4415000
