データコード,MD02'MAMS3ANM2C,MD02'MAMS3AN01,MD02'MAMS3ANC,MD02'MAMS3AND,MD02'MAMS3AND1,MD02'MAMS3AND2,MD02'MAMS3ANQ,MD02'MAMS3ANQ1,MD02'MAMS3ANQ2,MD02'MAMS3ANCD,MD02'MAMS3ANCD1,MD02'MAMS3ANCD2,MD02'MAMS3AN09NE,MD02'MAMS3ANM3,MD02'MAMS3ANLNE,MD02'MAMS3ANLNE12,MD02'MAMS3ANLNE1,MD02'MAMS3ANLN2,MD02'MAMS3ANLN3,MD02'MAMS3ANLN11,MD02'MAMS3ANLN4,MD02'MAMS3ANLN6,MD02'MAMS3ANLN9,MD02'MAMS3ANLN8,MD02'MAMS3ANLN5,MD02'MAMS3ANLN7,MD02'MAMS3ANLN10,MD02'MAMS3ANLN71,MD02'MAMS3AALNEX12,MD02'MAMS3AAM2CX12,MD02'MAMS3AA01X12,MD02'MAMS3AACX12,MD02'MAMS3AADX12,MD02'MAMS3AAQX12,MD02'MAMS3ENM2C,MD02'MAMS3EN01,MD02'MAMS3ENC,MD02'MAMS3END,MD02'MAMS3END1,MD02'MAMS3END2,MD02'MAMS3ENQ,MD02'MAMS3ENQ1,MD02'MAMS3ENQ2,MD02'MAMS3ENCD,MD02'MAMS3ENCD1,MD02'MAMS3ENCD2,MD02'MAMS3EN10NE,MD02'MAMS3ENM3,MD02'MAMS3EN18NE,MD02'MAMS3EN17NE,MD02'MAMS3EN15N,MD02'MAMS3EN16N,MD02'MAMS3EAM2CX12,MD02'MAMS3EA01X12
系列名称,"（更新停止）Ｍ２＋ＣＤ／平／マネーサプライ（2008年4月まで）","（更新停止）＿Ｍ１／平／マネーサプライ（2008年4月まで）","（更新停止）＿＿現金通貨／平／マネーサプライ（2008年4月まで）","（更新停止）＿＿預金通貨／平／マネーサプライ（2008年4月まで）","（更新停止）＿＿＿一般法人・預金通貨／平／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿個人・預金通貨／平／マネーサプライ（2008年3月まで）","（更新停止）＿準通貨／平／マネーサプライ（2008年4月まで）","（更新停止）＿＿＿一般法人・準通貨／平／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿個人・準通貨／平／マネーサプライ（2008年3月まで）","（更新停止）＿ＣＤ／平／マネーサプライ（2008年4月まで）","（更新停止）＿＿＿一般法人・ＣＤ／平／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿個人・ＣＤ／平／マネーサプライ（2008年3月まで）","（更新停止）Ｍ３＋ＣＤ／平／マネーサプライ（2008年4月まで）","（更新停止）＿Ｍ３＋ＣＤ−金銭信託／平／マネーサプライ（2008年4月まで）","（更新停止）広義流動性／平／マネーサプライ（2008年4月まで）","（更新停止）＿郵便貯金・その他金融機関預貯金／平／マネーサプライ（2008年4月まで）","（更新停止）＿＿郵便貯金／平／マネーサプライ（2007年9月まで）","（更新停止）＿＿その他金融機関預貯金／平／マネーサプライ（2007年9月まで）","（更新停止）＿金銭信託／平／マネーサプライ（2008年4月まで）","（更新停止）＿金銭信託以外の金銭の信託／平／マネーサプライ（2008年4月まで）","（更新停止）＿投資信託／平／マネーサプライ（2008年4月まで）","（更新停止）＿金融債／平／マネーサプライ（2008年4月まで）","（更新停止）＿金融機関発行ＣＰ／平／マネーサプライ（2008年4月まで）","（更新停止）＿債券現先・現金担保付債券貸借／平／マネーサプライ（2008年4月まで）","（更新停止）＿国債・ＦＢ／平／マネーサプライ（2008年4月まで）","（更新停止）＿外債／平／マネーサプライ（2008年4月まで）","（更新停止）（参考）年金信託／平／マネーサプライ（2008年4月まで）","（更新停止）（参考）外債ドル換算／平／マネーサプライ（2008年4月まで）","（更新停止）広義流動性／平／季／マネーサプライ（2008年4月まで）","（更新停止）Ｍ２＋ＣＤ／平／季／マネーサプライ（2008年4月まで）","（更新停止）＿Ｍ１／平／季／マネーサプライ（2008年4月まで）","（更新停止）＿＿現金通貨／平／季／マネーサプライ（2008年4月まで）","（更新停止）＿＿預金通貨／平／季／マネーサプライ（2008年4月まで）","（更新停止）＿準通貨／平／季／マネーサプライ（2008年4月まで）","（更新停止）Ｍ２＋ＣＤ／末／マネーサプライ（2008年3月まで）","（更新停止）＿Ｍ１／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿現金通貨／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿預金通貨／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿一般法人・預金通貨／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿個人・預金通貨／末／マネーサプライ（2008年3月まで）","（更新停止）＿準通貨／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿一般法人・準通貨／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿個人・準通貨／末／マネーサプライ（2008年3月まで）","（更新停止）＿ＣＤ／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿一般法人・ＣＤ／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿＿個人・ＣＤ／末／マネーサプライ（2008年3月まで）","（更新停止）Ｍ３＋ＣＤ／末／マネーサプライ（2008年3月まで）","（更新停止）＿Ｍ３＋ＣＤ−金銭信託／末／マネーサプライ（2008年3月まで）","（更新停止）＿郵便貯金・その他金融機関預貯金／末／マネーサプライ（2008年3月まで）","（更新停止）＿＿郵便貯金／末／マネーサプライ（2007年9月まで）","（更新停止）＿＿その他金融機関預貯金／末／マネーサプライ（2007年9月まで）","（更新停止）＿金銭信託／末／マネーサプライ（2008年3月まで）","（更新停止）Ｍ２＋ＣＤ／末／季／マネーサプライ（2008年3月まで）","（更新停止）＿Ｍ１／末／季／マネーサプライ（2008年3月まで）"
1998/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998/04,5919793,1938583,471141,1467442,575222,855631,3713620,972425,2559702,267590,259897,1237,10420665,9381717,11899747,3461924,2421662,1040262,1038948,51519,342503,327692,706,263293,200773,292596,328653,222219,11863968,5886427,1897287,471358,1425030,3767007,5939343,2005716,485942,1519774,613246,864389,3710643,989137,2553539,222984,214938,1101,10459541,9411088,3471745,2431397,1040348,1048453,5917403,1953036
1998/05,5926840,1939382,469520,1469862,589556,843995,3740323,1000189,2562021,247135,237559,1104,10446265,9400293,11902126,3473453,2434352,1039101,1045972,51976,362375,323094,425,240975,179749,297267,329816,220197,11886550,5909245,1902689,473346,1430728,3775395,5994941,1996540,479760,1516780,635156,845206,3773610,1014548,2556396,224791,218495,1124,10514666,9471172,3476231,2437308,1038923,1043494,5959964,1967575
1998/06,5918176,1910100,465082,1445018,554968,854291,3796980,1004673,2564655,211096,197373,1033,10453157,9411635,11913634,3493459,2450107,1043352,1041522,52377,369407,321656,1961,234439,177059,303578,329683,215962,11911307,5912661,1906121,475566,1431317,3783968,5998149,2004546,489522,1515024,575921,905450,3811572,1000162,2574318,182031,172669,901,10550324,9510772,3512623,2462908,1049715,1039552,5963360,1971892
1998/07,5967974,1941370,480205,1461165,542598,892190,3833132,1010205,2586478,193472,181501,894,10519868,9481831,12000522,3513857,2467130,1046727,1038037,52159,369908,315677,6495,250644,180546,305225,329785,216886,11960059,5940296,1924476,478815,1446181,3798869,5983584,1951917,486676,1465241,554910,879192,3843264,1013241,2597170,188403,177058,876,10535319,9498794,3515210,2471353,1043857,1036525,5982671,1974570
1998/08,5983933,1918800,476762,1442038,543553,872607,3855136,1024181,2595421,209997,197548,869,10537897,9503403,12039061,3519470,2477248,1042222,1034494,51931,371378,311758,16817,251571,190537,307172,330054,212325,12015297,5974788,1938658,480888,1458107,3813191,5959439,1928413,482144,1446269,542409,875313,3840911,1014987,2599334,190115,181619,829,10516903,9484436,3524997,2483142,1041855,1032467,6004187,1985696
1998/09,5955603,1905240,471451,1433789,551259,853846,3842467,1023600,2601419,207896,198288,837,10513173,9478317,12035287,3522714,2483382,1039332,1034856,52013,368906,307812,22223,246962,219756,304442,330787,226199,12062488,5992115,1945188,483633,1462717,3822875,5959311,1948202,480377,1467825,582983,855169,3825983,1022600,2603716,185126,178617,797,10516814,9479567,3520256,2483621,1036635,1037247,5994266,1990363
