データコード,MD02'MAMS1ANM2C,MD02'MAMS1AN01,MD02'MAMS1ANC,MD02'MAMS1AND,MD02'MAMS1ANQ,MD02'MAMS1ANCD,MD02'MAMS1AN09NE,MD02'MAMS1ANM3,MD02'MAMS1ANLNE,MD02'MAMS1ANLNE1,MD02'MAMS1ANLN2,MD02'MAMS1ANLN3,MD02'MAMS1ANLN11,MD02'MAMS1ANLN4,MD02'MAMS1ANLN6,MD02'MAMS1ANLN9,MD02'MAMS1ANLN8,MD02'MAMS1ANLN5,MD02'MAMS1ANLN7,MD02'MAMS1ANLN10,MD02'MAMS1ANLN71,MD02'MAMS1ANL,MD02'MAMS1AAM2CX12,MD02'MAMS1AA01X12,MD02'MAMS1AACX12,MD02'MAMS1AADX12,MD02'MAMS1AAQX12,MD02'MAMS1AALNEX12,MD02'MAMS1AALX12,MD02'MAMS1ENM2C,MD02'MAMS1EN01,MD02'MAMS1ENC,MD02'MAMS1END,MD02'MAMS1END1,MD02'MAMS1END2,MD02'MAMS1ENQ,MD02'MAMS1ENQ1,MD02'MAMS1ENQ2,MD02'MAMS1ENCD,MD02'MAMS1EN10NE,MD02'MAMS1ENM3,MD02'MAMS1EN17NE,MD02'MAMS1EN15N,MD02'MAMS1EN16N,MD02'MAMS1EN10,MD02'MAMS1EAM2CX12,MD02'MAMS1EA01X12
系列名称,"（更新停止）旧Ｍ２＋ＣＤ／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧Ｍ１／平／マネーサプライ（1999年3月まで）","（更新停止）＿＿旧現金通貨／平／マネーサプライ（1999年3月まで）","（更新停止）＿＿旧預金通貨／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧準通貨／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧ＣＤ／平／マネーサプライ（1999年3月まで）","（更新停止）旧Ｍ３＋ＣＤ（新）／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧Ｍ３＋ＣＤ（新）−金銭信託／平／マネーサプライ（1999年3月まで）","（更新停止）旧広義流動性（新）／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧郵便貯金／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧その他金融機関預貯金／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧金銭信託／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧金銭信託以外の金銭の信託／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧投資信託／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧金融債／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧金融機関発行ＣＰ／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧債券現先・現金担保付債券貸借／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧国債・ＦＢ／平／マネーサプライ（1999年3月まで）","（更新停止）＿旧外債／平／マネーサプライ（1999年3月まで）","（更新停止）旧（参考）年金信託／平／マネーサプライ（1999年3月まで）","（更新停止）旧（参考）外債ドル換算／平／マネーサプライ（1999年3月まで）","（更新停止）旧広義流動性（旧）／平／マネーサプライ（1999年3月まで）","（更新停止）旧Ｍ２＋ＣＤ／平／季／マネーサプライ（1999年3月まで）","（更新停止）＿旧Ｍ１／平／季／マネーサプライ（1999年3月まで）","（更新停止）＿＿旧現金通貨／平／季／マネーサプライ（1999年3月まで）","（更新停止）＿＿旧預金通貨／平／季／マネーサプライ（1999年3月まで）","（更新停止）＿旧準通貨／平／季／マネーサプライ（1999年3月まで）","（更新停止）旧広義流動性（新）／平／季／マネーサプライ（1999年3月まで）","（更新停止）旧広義流動性（旧）／平／季／マネーサプライ（1999年3月まで）","（更新停止）旧Ｍ２＋ＣＤ／末／マネーサプライ（1999年3月まで）","（更新停止）＿旧Ｍ１／末／マネーサプライ（1999年3月まで）","（更新停止）＿＿旧現金通貨／末／マネーサプライ（1999年3月まで）","（更新停止）＿＿旧預金通貨／末／マネーサプライ（1999年3月まで）","（更新停止）＿＿＿旧一般法人・預金通貨／末／マネーサプライ（1999年3月まで）","（更新停止）＿＿＿旧個人・預金通貨／末／マネーサプライ（1999年3月まで）","（更新停止）＿旧準通貨／末／マネーサプライ（1999年3月まで）","（更新停止）＿＿＿旧一般法人・準通貨／末／マネーサプライ（1999年3月まで）","（更新停止）＿＿＿旧個人・準通貨／末／マネーサプライ（1999年3月まで）","（更新停止）＿旧ＣＤ／末／マネーサプライ（1999年3月まで）","（更新停止）旧Ｍ３＋ＣＤ（新）／末／マネーサプライ（1999年3月まで）","（更新停止）＿旧Ｍ３＋ＣＤ（新）−金銭信託／末／マネーサプライ（1999年3月まで）","（更新停止）＿旧郵便貯金／末／マネーサプライ（1999年3月まで）","（更新停止）＿旧その他金融機関預貯金／末／マネーサプライ（1999年3月まで）","（更新停止）＿旧金銭信託／末／マネーサプライ（1999年3月まで）","（更新停止）旧Ｍ３＋ＣＤ（旧）／末／マネーサプライ（1999年3月まで）","（更新停止）旧Ｍ２＋ＣＤ／末／季／マネーサプライ（1999年3月まで）","（更新停止）＿旧Ｍ１／末／季／マネーサプライ（1999年3月まで）"
1900/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
